ML Model Recommendations
======================================================================
 1. 36184135 | Идеи дизайна интерьера | 89.53%
 2. 46117626 | Просто Вкусно | 82.07%
 3. 54343520 | ЧЕШУЯ | 78.75%
 4. 32194285 | Food.ru — про жизнь со вкусом и смыслом | 77.87%
 5. 34451036 | Рецепты l В домашних условиях l На зиму l Салаты | 77.47%
 6. 22822305 | ВКонтакте | 73.98%
 7. 38379853 | Школа ремонта | 69.60%
 8. 90730773 | Интерьер и декор | 62.86%
 9. 58170807 | КиноКайф - Лучшие фильмы | 59.67%
10. 36166073 | Наша правда! | 59.17%
11. 34889014 | Диетические рецепты | 57.49%
12. 48618580 | Записки шеф-повара | 56.56%
13. 27895931 | МУЗЫКА | 56.32%
14. 33769500 | Достойные фильмы | 55.32%
15. 35486195 | 0% жирности | 54.91%
16. 39009769 | Cook Good - лучшие рецепты | 54.47%
17. 29686754 | Шпильки | Женский Журнал | 54.07%
18. 28627911 | 40 КГ | 53.89%
19. 26750264 | 5 лучших фильмов | 53.39%
20. 31805219 | Идеи для творчества и подарков своими руками | 53.05%
21. 41053835 | Traveler - Путешествия и туризм | 51.74%
22. 44415896 | Любимые рецепты | 50.54%
23. 32439535 | Идеи вашего дома | 49.53%
24. 42541008 | Квартирный Вопрос | 49.44%
25. 18464856 | Лучшие рецепты Повара | 48.31%
26. 22798006 | КИНОМАНИЯ | Фильмы и сериалы | 48.23%
27. 25189523 | НОЧЬ | 48.18%
28. 48319873 | ИМПЕРИЯ КИНО | НОВИНКИ 2026 | 47.15%
29. 143792183 | Орнитологические экскурсии в Санкт-Петербурге | 46.90%
30. 65795448 | ЗДОРОВЬЕ И КРАСОТА ОТ ПРИРОДЫ | 46.89%
